Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.133333	0.11472338	0.05521090	0.05498178	0.00265342	0.00521882	-0.00414438	0.08577564	0.04921692	0.05297805	-0.00016056	0.00068464	-0.00328188	0.06770566	0.04871161	0.04573508	0.00079230	-0.00239811	-0.00113531	0.10552446	0.08039214	0.08824628	0.00155125	0.00384351	-0.00011586	0.07008464	0.07637825	0.07646129	0.00090201	0.00063651	0.00272283	0.04902148	0.06245893	0.04346069	0.00314166	0.00124330	0.00053285	0.11585908	0.05808236	0.05208701	0.00444246	0.00147520	-0.00813214	0.08978716	0.05698751	0.05011160	0.00410029	-0.00630754	-0.00804131	0.07087459	0.05182039	0.04402308	-0.00452192	-0.01042450	-0.00444483	0.10410548	0.07825935	0.08643366	-0.00410476	-0.00545709	0.00140597	0.07217780	0.07332583	0.07685895	0.00157979	-0.00218247	-0.00977870	0.05087215	0.06371874	0.04279514	-0.00191993	0.00046112	-0.01455715
0.149999	0.11474133	0.05528377	0.05491712	0.00121616	0.00382267	-0.00348027	0.08576667	0.04923904	0.05292304	-0.00088979	0.00035577	-0.00334726	0.06771235	0.04867058	0.04570788	-0.00007309	-0.00347632	-0.00100820	0.10553819	0.08045602	0.08823025	0.00108596	0.00342799	-0.00068367	0.07009064	0.07637675	0.07649720	-0.00013627	0.00031974	0.00227791	0.04905566	0.06247550	0.04344568	0.00248834	0.00125511	-0.00049360	0.11592000	0.05814130	0.05198317	0.00270275	0.00357199	-0.00693942	0.08984854	0.05695742	0.05004733	0.00284423	-0.00491934	-0.00514796	0.07078515	0.05171930	0.04404995	-0.00476854	-0.00816641	-0.00122000	0.10405234	0.07817699	0.08648446	-0.00317709	-0.00468699	0.00146133	0.07221282	0.07333020	0.07679051	0.00224487	-0.00127536	-0.00702797	0.05083128	0.06378690	0.04263829	-0.00223233	0.00243650	-0.01163430
0.166666	0.11474031	0.05533955	0.05486149	0.00034619	0.00265542	-0.00308349	0.08574636	0.04924568	0.05286266	-0.00144758	-0.00021268	-0.00307174	0.06770786	0.04861010	0.04567998	-0.00104003	-0.00453664	-0.00070086	0.10555618	0.08051520	0.08820708	0.00076425	0.00279122	-0.00112843	0.07007591	0.07637957	0.07652313	-0.00100822	0.00003751	0.00227821	0.04909253	0.06249812	0.04342610	0.00198168	0.00086366	-0.00074009	0.11597878	0.05822397	0.05185869	0.00086855	0.00602337	-0.00585605	0.08990020	0.05689133	0.04993398	0.00200693	-0.00330137	-0.00220512	0.07071627	0.05158557	0.04403107	-0.00434590	-0.00663367	0.00257065	0.10400658	0.07812438	0.08652735	-0.00200433	-0.00432381	0.00123326	0.07227099	0.07333044	0.07666941	0.00314218	-0.00124801	-0.00434970	0.05081463	0.06386027	0.04242079	-0.00184030	0.00294050	-0.00821346
0.183333	0.11473747	0.05537371	0.05482005	0.00002287	0.00184324	-0.00292248	0.08571076	0.04922710	0.05280213	-0.00184693	-0.00104811	-0.00256899	0.06768814	0.04851768	0.04566832	-0.00179891	-0.00516335	-0.00043573	0.10557153	0.08056282	0.08818237	0.00054669	0.00197419	-0.00120219	0.07005247	0.07638077	0.07656009	-0.00170436	-0.00045687	0.00253831	0.04913310	0.06251188	0.04341141	0.00173735	0.00035962	-0.00038970	0.11599255	0.05830966	0.05173523	-0.00024181	0.01008315	-0.00455620	0.08993333	0.05678973	0.04985880	0.00224789	0.00088537	0.00167592	0.07065432	0.05146262	0.04399691	-0.00269604	-0.00370003	0.00836825	0.10395775	0.07805121	0.08654292	-0.00069212	-0.00403268	0.00094448	0.07233255	0.07329810	0.07655223	0.00446292	-0.00111331	-0.00004120	0.05079302	0.06392156	0.04223148	-0.00086410	0.00264884	-0.00206566
0.199999	0.11473546	0.05537910	0.05478411	-0.00000857	0.00116460	-0.00296575	0.08567075	0.04919724	0.05275946	-0.00215386	-0.00231869	-0.00188595	0.06763647	0.04839924	0.04567788	-0.00220236	-0.00568293	-0.00023520	0.10557809	0.08058298	0.08816117	0.00033885	0.00105847	-0.00106562	0.07001359	0.07637538	0.07660886	-0.00224956	-0.00132625	0.00294102	0.04916073	0.06251733	0.04340379	0.00166506	-0.00023261	0.00015728	0.11592495	0.05846113	0.05167572	-0.00129067	0.01480230	-0.00228076	0.08989482	0.05672818	0.04992565	0.00215755	0.00717682	0.00681304	0.07054517	0.05136443	0.04413243	-0.00175037	0.00163859	0.01603153	0.10397015	0.07799674	0.08652009	0.00066746	-0.00343782	0.00082713	0.07238369	0.07325481	0.07653157	0.00491751	0.00010654	0.00612101	0.05073405	0.06395119	0.04218415	-0.00117913	0.00273195	0.00699003
0.216666	0.11473592	0.05539700	0.05473334	0.00001729	0.00049690	-0.00315286	0.08563849	0.04916809	0.05274270	-0.00227899	-0.00375598	-0.00115153	0.06758596	0.04830519	0.04568770	-0.00223593	-0.00630346	-0.00028592	0.10557994	0.08059207	0.08814775	0.00022844	0.00021193	-0.00089117	0.06997428	0.07636479	0.07666413	-0.00254122	-0.00244928	0.00345924	0.04917498	0.06250675	0.04341280	0.00169853	-0.00103109	0.00068607	0.11587940	0.05872606	0.05164451	-0.00268904	0.01956504	0.00102973	0.08996492	0.05684846	0.05007104	0.00069842	0.01479054	0.01326227	0.07057680	0.05135812	0.04444624	-0.00268025	0.00932653	0.02546678	0.10398465	0.07789865	0.08652773	0.00206203	-0.00214920	0.00110917	0.07249209	0.07321440	0.07665363	0.00391291	0.00344941	0.01411608	0.05076261	0.06395212	0.04232658	-0.00382680	0.00459107	0.01801789
0.233332	0.11474074	0.05540894	0.05467285	-0.00001479	0.00019096	-0.00357650	0.08559909	0.04910265	0.05273493	-0.00206829	-0.00490110	-0.00054399	0.06754157	0.04821974	0.04568038	-0.00178178	-0.00670412	-0.00069831	0.10557473	0.08058283	0.08813407	0.00032634	-0.00018336	-0.00079274	0.06992156	0.07630487	0.07672165	-0.00250333	-0.00325424	0.00392532	0.04919659	0.06248481	0.04343462	0.00199734	-0.00166270	0.00100468	0.11586189	0.05919681	0.05169060	-0.00368239	0.02416296	0.00426851	0.09003784	0.05730009	0.05040010	-0.00041474	0.02276862	0.01917051	0.07061698	0.05162682	0.04507202	-0.00390390	0.01770397	0.03494653	0.10405937	0.07787388	0.08655247	0.00328386	-0.00027899	0.00190546	0.07262091	0.07328583	0.07703830	0.00248515	0.00879872	0.02240115	0.05076427	0.06400580	0.04283800	-0.00737465	0.00822503	0.02885435
0.249999	0.11474150	0.05541023	0.05460709	-0.00021786	0.00000566	-0.00395812	0.08556018	0.04899167	0.05273764	-0.00174560	-0.00572309	-0.00038156	0.06752205	0.04811274	0.04566164	-0.00101030	-0.00683931	-0.00136976	0.10557891	0.08056738	0.08812695	0.00059553	-0.00000820	-0.00077442	0.06987695	0.07622492	0.07679164	-0.00236862	-0.00348163	0.00427401	0.04923286	0.06244602	0.04346305	0.00280223	-0.00167108	0.00101926	0.11581620	0.05963777	0.05179551	-0.00360386	0.02756988	0.00645992	0.09004207	0.05778036	0.05074630	0.00004794	0.02981576	0.02283836	0.07055063	0.05200999	0.04572378	-0.00372985	0.02487602	0.04172422	0.10411123	0.07787184	0.08660762	0.00446839	0.00173551	0.00270781	0.07264815	0.07344656	0.07748699	0.00216317	0.01419278	0.02949350	0.05062962	0.06414043	0.04343605	-0.00993068	0.01209368	0.03789187
0.266666	0.11473770	0.05539401	0.05454369	-0.00053402	-0.00031049	-0.00390432	0.08552522	0.04886186	0.05273139	-0.00138518	-0.00607752	-0.00048414	0.06751381	0.04796978	0.04562989	-0.00022002	-0.00672449	-0.00190721	0.10559209	0.08055744	0.08811225	0.00085887	0.00044145	-0.00079885	0.06983604	0.07613502	0.07686700	-0.00230276	-0.00309338	0.00455221	0.04928338	0.06239706	0.04348338	0.00379102	-0.00099738	0.00074089	0.11571781	0.06014901	0.05196827	-0.00322272	0.02766495	0.00729379	0.08991602	0.05837383	0.05124192	0.00103556	0.03264453	0.02331475	0.07036577	0.05260979	0.04654580	-0.00276276	0.02779622	0.04332808	0.10419291	0.07796007	0.08665957	0.00531713	0.00287199	0.00307349	0.07259757	0.07380519	0.07809459	0.00279651	0.01674435	0.03317239	0.05031744	0.06444947	0.04421479	-0.01089534	0.01390962	0.04224122
0.283332	0.11472867	0.05539380	0.05446589	-0.00082504	-0.00075708	-0.00355687	0.08551510	0.04875480	0.05272878	-0.00099156	-0.00581438	-0.00095990	0.06752211	0.04783667	0.04559375	0.00022154	-0.00677324	-0.00216522	0.10561613	0.08057201	0.08809713	0.00095208	0.00082475	-0.00084352	0.06981576	0.07609377	0.07695332	-0.00213434	-0.00238554	0.00475818	0.04935541	0.06237076	0.04349128	0.00450207	-0.00015512	0.00021122	0.11561088	0.06061282	0.05212757	-0.00262202	0.02484987	0.00676525	0.08987889	0.05890708	0.05167876	0.00216999	0.03070488	0.02127047	0.07021426	0.05313142	0.04733485	-0.00060685	0.02596720	0.04048759	0.10427987	0.07804313	0.08672135	0.00545947	0.00200276	0.00304573	0.07255790	0.07421219	0.07868783	0.00421179	0.01550226	0.03312154	0.05000379	0.06479787	0.04495668	-0.00962105	0.01277206	0.04135953
